CustomerID,Lookalikes
C0001,"[('C0012', 0.9993606011582863), ('C0013', 0.994605562719149), ('C0004', 0.982105102808648)]"
C0002,"[('C0010', 0.9992480644153787), ('C0009', 0.9942948290297401), ('C0014', 0.9369692382824786)]"
C0003,"[('C0020', 0.9973033114146811), ('C0005', 0.9953314000305038), ('C0015', 0.9854621479444843)]"
C0004,"[('C0017', 0.9884753148884934), ('C0012', 0.988210933815472), ('C0001', 0.982105102808648)]"
C0005,"[('C0020', 0.9997306439937342), ('C0015', 0.9972590756562014), ('C0003', 0.9953314000305038)]"
C0006,"[('C0018', 0.8548018682152774), ('C0016', 0.7866060325051519), ('C0011', 0.7553145439535106)]"
C0007,"[('C0003', 0.976733914448762), ('C0020', 0.9583611107208534), ('C0005', 0.9514755420801384)]"
C0008,"[('C0017', 0.9500218674850054), ('C0004', 0.8918141797210287), ('C0012', 0.8120384733961677)]"
C0009,"[('C0002', 0.9942948290297401), ('C0010', 0.9894114486401618), ('C0014', 0.9688942916452732)]"
C0010,"[('C0002', 0.9992480644153787), ('C0009', 0.9894114486401618), ('C0014', 0.9227171309856195)]"
C0011,"[('C0016', 0.9987919423913139), ('C0018', 0.9857475709499408), ('C0013', 0.9739085084339485)]"
C0012,"[('C0001', 0.9993606011582863), ('C0013', 0.9902608159762721), ('C0004', 0.988210933815472)]"
C0013,"[('C0001', 0.994605562719149), ('C0012', 0.9902608159762721), ('C0011', 0.9739085084339485)]"
C0014,"[('C0015', 0.9997008151522969), ('C0005', 0.9951509631450234), ('C0020', 0.9926001298518692)]"
C0015,"[('C0014', 0.9997008151522969), ('C0005', 0.9972590756562014), ('C0020', 0.9952732819394012)]"
C0016,"[('C0011', 0.9987919423913139), ('C0018', 0.9928234673402483), ('C0013', 0.9615802836143597)]"
C0017,"[('C0004', 0.9884753148884934), ('C0012', 0.953645735853756), ('C0008', 0.9500218674850054)]"
C0018,"[('C0016', 0.9928234673402483), ('C0011', 0.9857475709499408), ('C0013', 0.9218493967998057)]"
C0019,"[('C0008', 0.449124498175046), ('C0010', 0.41903032416387603), ('C0002', 0.3835108983421418)]"
C0020,"[('C0005', 0.9997306439937342), ('C0003', 0.9973033114146811), ('C0015', 0.9952732819394012)]"
